Cliente;Status;Tipo Pagto;Conta Financeira;Documento;Dt. Vencimento;Dt. Pagamento;Valor Título;Valor Pago;
"36033397000165 EDIFICIO MALAGA";"ABERTO";"BOLETO";"VENDAS";"427302";"09/04/2026";;"351,00";"0,00";
"36033397000165 EDIFICIO MALAGA";"ABERTO";"BOLETO";"VENDAS";"427401";"09/04/2026";;"60,00";"0,00";
"42019613000110 PROMENADE MATA";"ABERTO";"BOLETO";"VENDAS";"427701";"10/04/2026";;"450,00";"0,00";
"05940468000180 - UNILOGISTICA";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"425201";"10/04/2026";;"972,33";"0,00";
"44648326000103-CALORE";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"425301";"10/04/2026";;"113,05";"0,00";
"39780655000165_MULTIVIX CARIAC";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"420101";"10/04/2026";;"3.798,80";"0,00";
"25024022000112_LUIZ CARLOS";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"432701";"10/04/2026";;"464,83";"0,00";
"02766083000150 SABOR VITORIA A";"ABERTO";"BOLETO";"VENDAS";"439401";"10/04/2026";;"13.576,25";"0,00";
"27165554000367_VILA VELHA";"ABERTO";"TRANSF. BANCÁRIA";"SERVIÇOS CONTRATOS";"2477/NFSe 604";"10/04/2026";;"1.038,22";"0,00";
"27165554000367_VILA VELHA";"ABERTO";"TRANSF. BANCÁRIA";"SERVIÇOS CONTRATOS";"NFSe605";"10/04/2026";;"500,00";"0,00";
"27165554000367_VILA VELHA";"ABERTO";"TRANSF. BANCÁRIA";"SERVIÇOS CONTRATOS";"2479/NFSe 602";"10/04/2026";;"1.081,55";"0,00";
"17289826000115_AFORT INDUST.";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"432201";"10/04/2026";;"468,73";"0,00";
"23682766000107_EDF.METRPOLITAN";"ABERTO";"BOLETO";"SERVIÇOS AVULSOS";"437201";"10/04/2026";;"433,00";"0,00";
"14165301000180 ECOLLOGISTICS";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"440701";"10/04/2026";;"1.682,35";"0,00";
"27578434000120-UNIMED";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"435201";"10/04/2026";;"8.763,64";"0,00";
"30966501000198 CART REG GERAL";"ABERTO";"BOLETO";"SERVIÇOS AVULSOS";"436401";"10/04/2026";;"250,00";"0,00";
"27496819000148 UNIAO GILDASIO";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"554";"10/04/2026";;"2.627,28";"0,00";
"50098256000151 VILA LOGISTIC";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"426901";"10/04/2026";;"3.400,00";"0,00";
"10516065000148 VETOR SERRA";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"442201";"10/04/2026";;"226,30";"0,00";
"11628095000109_PRIMEGUARAPARI";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"415201";"10/04/2026";;"157,36";"0,00";
"05662411000328 UNILOGISTICA BU";"ABERTO";"BOLETO";"VENDAS";"427601";"11/04/2026";;"214,04";"0,00";
"19679013000167_MULTIVIX V.V";"ABERTO";"BOLETO";;"419401";"11/04/2026";;"4.730,87";"0,00";
"15591793000138_NEWLAND";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"418701";"11/04/2026";;"239,06";"0,00";
"04461341000115 LIQUIPORT";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"430401";"11/04/2026";;"616,48";"0,00";
"22761584012914 FORTBRAS AUTOPE";"ABERTO";"BOLETO";"VENDAS";"428601";"11/04/2026";;"2.509,50";"0,00";
"31737422000178 CENTRO EDUCACIO";"ABERTO";"BOLETO";"VENDAS";"400103";"12/04/2026";;"443,70";"0,00";
"53134001000195 CASA BAR & GAST";"ABERTO";"BOLETO";"VENDAS";"403103";"13/04/2026";;"443,70";"0,00";
"54414684000105 RESTAURANTE SEL";"ABERTO";"BOLETO";"VENDAS";"402903";"14/04/2026";;"521,10";"0,00";
"60779520000176 BR SAUDE E ES";"ABERTO";"BOLETO";"VENDAS";"403002";"14/04/2026";;"518,70";"0,00";
"07711318000120 JARDIM DA PENHA";"ABERTO";"BOLETO";"SERVIÇOS AVULSOS";"438501";"14/04/2026";;"280,00";"0,00";
"44104422000182 FREIRE SERRANO";"ABERTO";"BOLETO";"VENDAS";"439301";"15/04/2026";;"95,00";"0,00";
"31158543000165-POSTOJARACATIA";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"442501";"15/04/2026";;"97,00";"0,00";
"11967455000105_EDF. MANHATTAN";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"420501";"15/04/2026";;"1.776,83";"0,00";
"30572376000131_EDUCARMAIS";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"418401";"15/04/2026";;"145,07";"0,00";
"31885931000148 LORENGE UNIQUE";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"423401";"15/04/2026";;"1.034,53";"0,00";
"28165207000135 ALVARES CABRAL";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"425901";"15/04/2026";;"872,79";"0,00";
"01856490000195_EDIFICIO LIGHT";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"419601";"15/04/2026";;"928,29";"0,00";
"02284444000121 VAMTEC VITORIA";"ABERTO";"BOLETO";"SERVIÇOS AVULSOS";"439001";"15/04/2026";;"621,00";"0,00";
"17673387000140 VITORIA PARK";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"425701";"15/04/2026";;"867,52";"0,00";
"24372352000136 SIGMA CLUBE LTD";"ABERTO";"BOLETO";"SERVIÇOS AVULSOS";"439201";"15/04/2026";;"830,00";"0,00";
"28164168000151-SINDIBANCARIOS";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"416901";"15/04/2026";;"191,77";"0,00";
"13011684000179_RABO DO LAGARTO";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"419501";"15/04/2026";;"271,49";"0,00";
"08026472000125_CHALE POUSADA";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"417401";"15/04/2026";;"341,87";"0,00";
"11720302000150_PONTO SOFT";"ABERTO";"BOLETO";"VENDAS";"438801";"15/04/2026";;"245,00";"0,00";
"27187087000104 SANTA CASA";"ABERTO";"BOLETO";"SERVIÇOS AVULSOS";"432001";"15/04/2026";;"498,75";"0,00";
"50447521000160_MRV MOTO";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"412601";"15/04/2026";;"209,00";"0,00";
"48579879000102-POSTOJARACATIA";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"442601";"15/04/2026";;"97,00";"0,00";
"36043073000108 COND.ITAPAR";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"411401";"16/04/2026";;"1.175,00";"0,00";
"10921911000377 FORTLEV PE";"ABERTO";"DEP. CONTA";"VENDAS";"431901";"16/04/2026";;"3.990,00";"0,00";
"22509929000183 ACADEMIA MOVEME";"ABERTO";"CARTÃO CRÉDITO";"VENDAS";"350704";"16/04/2026";;"1.135,84";"0,00";
"64807472000729 QUALITA GRANITO";"ABERTO";"BOLETO";"VENDAS";"434401";"17/04/2026";;"341,00";"0,00";
"10921911000539 FORTLEV";"ABERTO";"DEP. CONTA";"VENDAS";"432301";"17/04/2026";;"5.012,90";"0,00";
"09815011000102-CERRO AZUL";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"441201";"17/04/2026";;"119,00";"0,00";
"15743430000332 OFTALMOPLUS";"ABERTO";"BOLETO";"VENDAS";"434501";"17/04/2026";;"135,40";"0,00";
"43559937000104-MADAN INSTITUIC";"ABERTO";"BOLETO";"VENDAS";"435301";"19/04/2026";;"123,80";"0,00";
"L N MANUTENCAO INDUSTRIAL LTDA";"ABERTO";"BOLETO";"VENDAS";"435101";"19/04/2026";;"193,20";"0,00";
"20283165000125-GECAP";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"442101";"20/04/2026";;"239,00";"0,00";
"22896431000200 - PICPAY SERVIC";"ABERTO";"TRANSF. BANCÁRIA";"SERVIÇOS CONTRATOS";"426501";"20/04/2026";;"4.727,70";"0,00";
"20883820000186_EDIFICIO PRAIA";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"426401";"20/04/2026";;"768,43";"0,00";
"ARCELOR MITTAL BRASIL S/A";"ABERTO";"DEP. CONTA";"VENDAS";"424501";"20/04/2026";;"368,00";"0,00";
"10858706000142 TOYNG IMPORTAC";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"2389 - NFSe24284";"20/04/2026";;"342,93";"0,00";
"11721749000225_MINERAÇÃO ECOL.";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"441501";"20/04/2026";;"119,00";"0,00";
"11164874001687-RC NUTRY ALIMEN";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"441901";"20/04/2026";;"500,00";"0,00";
"03655245000145_BRAGATO SERVICO";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"441801";"20/04/2026";;"209,00";"0,00";
"27338466000158 MOVEIS CONQUIST";"ABERTO";"BOLETO";"VENDAS";"405902";"20/04/2026";;"331,63";"0,00";
"01936248000121 MULTIVIX";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"431301";"21/04/2026";;"3.358,39";"0,00";
"27277961000102 SUPERMERCADOS P";"ABERTO";"BOLETO";"VENDAS";"436302";"23/04/2026";;"2.511,00";"0,00";
"31790710001168 IMETAME METAL";"ABERTO";"DEP. CONTA";"SERVIÇOS AVULSOS";"437301";"23/04/2026";;"1.326,30";"0,00";
"19283777000139 BARROSO OLIVEI";"ABERTO";"BOLETO";"VENDAS";"406903";"24/04/2026";;"360,00";"0,00";
"35723994000230 SEACREST";"ABERTO";"TRANSF. BANCÁRIA";"SERVIÇOS CONTRATOS";"425501";"24/04/2026";;"2.265,00";"0,00";
"32681371000172 VIX LOGISTICA";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"428901";"25/04/2026";;"10.320,00";"0,00";
"08183221000154 GLOBAL TOWER";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"442301";"25/04/2026";;"169,00";"0,00";
"CONSIGA";"ABERTO";"BOLETO";"VENDAS";"437801";"25/04/2026";;"82,20";"0,00";
"22058210000173 ESD HORT";"ABERTO";"BOLETO";"SERVIÇOS CONTRATOS";"441001";"25/04/2026";;"369,00";"0,00";
